Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31
133.33603398284836,210.95291094204998,260.2647146032484,117.54882364439311,181.76560847596213,258.1642939544415,146.31211692466957,252.54838727558658,227.6624325694989,223.1721295913341,165.50490496792196,174.25424812899757,168.5461551282074,256.3212997675117,119.1782583482048,180.56652716517584,207.49776955319035,173.90470162398282,212.31468699485293,269.20145585708906,124.72523969305922,120.5961180640182,143.94198123656912,226.39834511878288,151.2674434193396,260.00531663780714,132.4594586278772,116.11311993671225,189.03887167119893,214.07669460371682,233.60315133333208,224.39641181249905
174.8330211497259,194.73726233180406,252.18644878153248,135.60949584982222,177.1525786563053,269.8424442872783,139.629704111852,250.7543384744445,190.54308875281134,219.2726562199193,170.74568462626272,172.3623470466092,156.78935319137923,266.1342037797472,129.70591092467805,175.49106525381245,200.57651813262365,179.2488005390315,214.58261902498032,253.5542317027098,120.14781972998713,125.85134917217826,144.3096811446993,208.1059639926285,141.84383996866123,253.47950462899166,187.7515864861903,139.460302464621,218.0663180993895,207.47767759526917,237.17235411875274,228.19242800361667
139.83314480929727,173.88874215721927,259.11747150301915,128.48748488624472,198.21763354025958,287.0685060365997,134.31739486726386,247.06117176915092,187.65355285664205,224.32110380363747,165.20000241312695,179.88719160858508,184.04959562670234,264.1776187784121,139.7268370106086,196.83430002633145,206.57642834930164,161.42606573037085,239.11363815262789,242.35416994897776,116.9222888029348,169.99487152388988,163.44108609135674,218.77330042307602,149.5536061707417,260.08693229058866,124.94825954886723,143.6184145867316,172.2671509741545,207.0091395062302,271.1289733398707,217.0484961484134
134.26768853558247,169.27190187150762,267.9455626912067,151.2446115873781,199.73277543917538,258.6719345865424,153.62185823923247,259.7097116975645,201.003971112118,235.54235172683047,152.04820070201666,180.03195741701242,162.75972721983018,258.7164319319769,116.35388562257512,175.49895394463144,233.66783199241206,199.0908224136362,214.35877322304196,242.34846532230142,120.72078915896043,131.96117558289566,187.91988487575347,222.74550351752887,157.16476974327006,285.5799205964927,152.2910422739388,134.54720841150152,209.62294206828415,218.0449401168767,235.77746955356977,204.93318413371043
143.1633222328215,186.25881155144128,266.84758247076036,120.14449169379195,184.10155613688417,300.43935301549425,175.70298441258765,246.2718092584607,209.35962204041306,251.4686274750408,149.55312261098604,172.46858149704593,154.51275645069046,243.16327451568293,128.19129180574888,197.21403618792255,201.34224804011023,235.99613328271008,218.9397870651023,246.82155850139344,129.37363352273607,152.02089377416095,141.73752115192443,214.18833627492538,158.19218613179996,264.9744809190272,179.33046729884387,128.29291031039247,189.29691500528165,213.9214289495997,238.28435884166853,221.85093077142815
133.7875212752404,174.37517367350142,256.0775308817006,149.75052987103462,218.1506779107998,279.0089311534153,150.77201979393848,272.5429973139242,359.98225078684385,231.62042817162288,155.8793846433825,314.69447259807896,162.7524598213733,245.205338785812,133.08069687010806,173.70735071926842,202.0286933757583,216.38440538470618,217.3359745269473,251.74330198107785,140.189807649903,130.27160834071552,149.76231619365794,236.96252989417636,148.53472506516434,311.9568669273498,173.40719074176275,125.99268330321358,203.13431440037976,222.61013414765804,240.48068729106842,222.96062708699827
175.6845211481136,202.99208109022237,254.88615355311526,126.02490914131741,186.70917352961303,251.48330032047554,140.73258270276696,256.1597101255207,205.01961568117014,229.00824162659805,157.69315575036353,189.49337534929697,172.5080189416254,236.61695617699846,146.51742426449565,178.53031594666444,216.37396102410665,166.74225695729783,249.05901178132967,262.103833237707,113.38161029409888,138.43163316749113,143.7262623947772,208.1700406656424,146.70466382414082,264.6619640990698,137.87739752859673,127.04606087097875,195.73337054837117,210.6397685683877,233.9349860749384,213.2145121131345
172.1546310553058,195.83257559573624,265.8664619259906,128.65701739102715,178.14913267833356,292.19210193984287,150.50944162959613,280.3774162150205,193.57625290422422,236.25118174491817,166.97083188644632,195.86321465467427,152.5989866310997,242.0431114309019,120.8666378154204,207.5137404973252,262.8936223227092,173.34100907498552,209.21111510685674,240.04662925452274,131.92815977160194,167.4488370473092,140.37304015474172,204.31302117629386,136.10417137709945,259.95845802631874,136.60190282121468,124.00803002947411,186.66368685993055,217.46414261347894,249.77194551951564,211.44450282413285
135.85839629468717,176.9257263976932,262.0847686706275,128.1222890280159,202.85411950318482,278.8963728376075,162.27344617005292,253.83786062289926,196.97696916570382,237.57858657022788,154.84541964219468,211.68082523489136,227.67500875705986,245.40223637632812,138.20543799065518,171.96567047889516,199.7960934515292,158.66685397267943,215.90929086329183,271.1389297282471,110.7104980418624,134.47281666605107,152.9595159659748,222.58763021928468,170.13545608107438,258.7528766965124,148.8979221224024,148.78131130159647,189.83309746577243,231.0839614095765,256.38977624035,217.30781972882022
152.7594758487586,168.5724321169811,256.25377019136926,175.58228398263338,196.140179748364,251.1950770557659,145.31962471370858,243.96749387750378,210.62278759704137,255.0556691953177,215.2066661894002,171.88624951018974,164.5412082550735,258.86843935272077,117.4425277447527,205.79542730894423,212.27512596495103,170.4046111836018,224.6033289547476,281.8993180312688,160.95028196266898,161.6168998010012,198.6002439141851,210.48155391749106,187.04037373042044,262.0370316080214,140.95383094861114,127.1382475256413,185.95162666626547,203.71701643460793,248.62959760158682,220.1984976785297
